id,Age,AnnualIncome,ExperienceYears,EducationLevel,EmploymentStatus,TrainingHours,CertificationsCompleted,PolicySales,CustomerInteractions,LeadConversions,ClientRetentionRate,CustomerFeedbackScore,Region,WorkHoursPerWeek,CommissionEarned,PolicyTypesSold,AverageResponseTime,CompetitorExperience,CompanyTrainingParticipation,ConfidenceScore
492,42,60081,19,Bachelor,Employed,57,0,147,538,172,0.86,0.396,South,23,10032,1,7.81,1,1,High
493,57,83649,22,Bachelor,Unemployed,129,0,148,573,18,0.51,0.979,West,39,3608,2,2.18,1,0,Low
494,31,140475,6,High School,Unemployed,133,3,101,303,282,0.6,0.941,East,24,5297,4,8.28,1,1,High
495,58,142116,9,High School,Employed,10,6,99,562,243,0.72,0.375,South,52,13211,1,4.11,0,1,Low
496,30,132051,11,High School,Employed,114,1,24,133,85,0.68,0.3,North,37,19207,4,8.58,0,1,High
497,45,68069,22,Doctorate,Employed,53,2,193,213,199,0.73,0.146,South,44,15755,3,9.43,1,1,High
498,56,138352,9,Bachelor,Employed,72,3,29,727,205,0.66,0.929,West,22,7436,1,4.15,1,0,Low
499,56,103670,29,Master,Employed,104,0,127,481,11,0.79,0.893,East,32,9229,1,6.93,0,0,Low
500,57,129968,10,Bachelor,Unemployed,47,1,71,992,246,0.93,0.716,East,31,14384,3,3.93,0,0,High
501,39,136686,34,Master,Employed,18,1,24,820,262,0.54,0.924,South,28,11090,2,4.75,1,0,High
502,60,101377,31,Master,Unemployed,15,5,93,558,112,0.65,0.36,East,47,17794,2,4.2,1,1,Low
503,53,116671,22,Master,Employed,79,3,157,739,169,0.63,0.195,East,27,18283,2,3.91,0,0,High
504,45,37427,4,High School,Unemployed,61,6,30,996,240,0.77,0.803,West,29,5445,2,5.3,1,0,Low
505,44,65251,2,Master,Employed,76,7,95,222,209,0.95,0.979,East,38,7934,4,1.07,0,0,High
506,53,124667,5,Bachelor,Unemployed,105,1,35,197,209,0.91,0.329,East,50,11338,1,3.46,1,0,High
507,58,127263,15,Bachelor,Employed,108,1,168,799,152,0.95,0.299,South,23,3822,2,7.15,0,0,High
508,33,50165,19,High School,Unemployed,153,4,60,735,253,0.61,0.946,East,35,7539,1,3.26,1,0,Low
509,34,92285,38,Bachelor,Unemployed,139,3,156,377,45,0.67,0.748,East,20,12415,2,3.08,0,1,Low
510,44,146359,15,Master,Unemployed,45,9,161,188,123,0.64,0.355,North,23,13314,1,3.62,0,1,High
511,46,123844,8,Doctorate,Employed,114,1,18,925,77,0.77,0.605,South,49,9444,3,9.76,0,1,High
512,56,89927,20,Master,Employed,44,8,4,489,8,0.84,0.53,East,47,4861,2,5.68,1,0,Low
513,62,98170,12,Doctorate,Employed,129,8,147,946,47,0.71,0.761,West,33,5290,3,7.76,0,0,High
514,51,101150,4,High School,Employed,39,9,28,591,211,0.65,0.482,East,37,10613,2,2.29,0,0,Low
515,38,49866,38,High School,Unemployed,182,3,2,109,232,0.82,0.466,East,23,18324,2,3.57,1,0,High
516,41,35282,39,Doctorate,Unemployed,183,1,83,986,35,0.75,0.866,West,20,8431,4,7.94,0,0,Low
517,46,45319,36,Master,Unemployed,102,2,24,229,16,0.91,0.736,East,41,5428,2,7.23,1,0,High
518,43,61726,15,Doctorate,Employed,138,7,68,69,89,0.53,0.747,West,30,17952,4,7.55,0,0,High
519,34,40412,1,Bachelor,Employed,114,7,54,159,176,0.87,0.345,North,38,9266,3,4.94,1,1,Low
520,40,127163,31,High School,Unemployed,194,6,183,335,40,0.85,0.51,East,26,8529,3,8.23,0,1,High
521,57,98586,9,Master,Employed,109,3,156,350,29,0.93,0.635,South,46,9466,3,7.51,1,0,High
522,33,149135,23,High School,Unemployed,112,0,124,253,40,0.92,0.333,South,47,17252,1,6.5,0,1,High
523,62,145019,26,Doctorate,Employed,40,9,40,317,106,0.58,0.994,West,53,14136,2,7.7,0,0,High
524,40,49583,39,Doctorate,Employed,34,8,129,421,135,0.82,0.504,North,22,13480,2,5.09,0,1,Low
525,33,108577,18,Bachelor,Unemployed,56,6,5,856,82,0.8,0.432,West,32,4910,3,2.61,0,1,High
526,30,86922,33,High School,Unemployed,193,0,186,115,31,0.85,0.866,North,54,1586,2,8.9,0,0,Low
527,28,31185,39,Doctorate,Unemployed,10,4,192,264,11,0.99,0.323,South,52,2248,2,6.73,0,1,High
528,49,111348,14,Doctorate,Unemployed,111,2,30,939,48,0.55,0.822,South,41,6221,1,3.17,1,0,Low
529,35,116368,1,High School,Employed,127,1,90,737,76,0.81,0.949,South,52,11600,3,9.08,1,0,High
530,52,81389,13,Doctorate,Employed,174,2,108,318,108,0.8,0.748,East,59,7368,2,9.45,1,0,High
531,40,42423,15,Doctorate,Unemployed,122,5,100,879,184,0.5,0.548,West,23,3484,3,4.8,1,0,High
532,37,76268,37,Bachelor,Employed,149,6,45,579,136,0.83,0.212,North,40,19353,3,6.44,0,0,Low
533,26,137692,5,High School,Unemployed,29,9,59,196,247,0.75,0.731,West,56,6842,2,8.55,1,1,High
534,56,66644,14,Bachelor,Employed,39,8,45,204,134,0.89,0.851,South,44,12019,3,7.2,1,1,High
535,33,61786,14,Doctorate,Employed,88,9,18,956,248,0.88,0.473,South,22,12808,1,4.77,1,1,High
536,46,120201,5,Doctorate,Unemployed,137,6,0,550,249,0.52,0.789,West,28,4315,1,1.51,0,0,Low
537,42,100525,11,Doctorate,Employed,94,0,17,79,217,0.89,0.586,West,24,1669,1,4.45,1,0,High
538,57,147234,32,Master,Unemployed,73,6,134,690,232,0.95,0.799,West,38,9184,1,9.89,0,0,High
539,44,108744,5,High School,Unemployed,27,0,112,510,216,0.82,0.341,North,59,2942,3,3.3,0,1,Low
540,37,143222,36,High School,Unemployed,41,7,159,492,162,0.93,0.105,North,43,14206,3,6.17,0,0,Low
541,60,113590,15,Doctorate,Unemployed,156,1,58,185,134,0.6,0.996,East,39,11909,1,2.47,0,0,High
542,63,55477,7,Doctorate,Employed,103,1,64,624,108,0.95,0.251,West,25,17348,3,5.54,1,0,High
543,60,120910,5,Master,Employed,42,0,11,711,221,0.97,0.891,West,20,13710,1,7.21,1,0,Low
544,35,147942,30,High School,Employed,199,8,172,197,97,0.64,0.18,South,51,19796,3,8.04,0,0,High
545,52,131756,15,Master,Unemployed,159,7,151,895,285,0.67,0.687,South,40,5232,4,6.72,0,1,High
546,26,28571,30,Bachelor,Unemployed,118,8,181,703,238,0.86,0.151,East,48,17831,3,1.54,0,0,High
547,56,44576,14,Bachelor,Unemployed,166,7,3,897,285,0.67,0.704,North,27,3988,4,5.63,0,0,Low
548,44,144641,24,Bachelor,Unemployed,13,3,78,196,52,0.99,0.196,East,22,1420,2,4.89,1,0,Low
549,50,87703,24,Master,Unemployed,187,8,23,856,15,0.64,0.644,East,34,13369,1,3.12,1,1,Low
550,64,34680,35,Doctorate,Employed,109,7,22,941,241,0.51,0.425,East,27,18022,3,8.64,0,0,High
551,32,50706,5,Bachelor,Unemployed,131,0,88,654,23,0.91,0.573,South,45,14471,4,5.95,0,0,Low
552,39,104854,12,Doctorate,Employed,141,9,176,343,237,0.52,0.145,South,34,15367,4,7.45,1,1,High
553,33,111195,20,Bachelor,Employed,14,4,20,506,278,0.99,0.418,West,36,18016,4,9.28,1,0,High
554,30,89527,5,Doctorate,Employed,176,8,197,355,246,0.8,0.802,East,59,7887,1,2.34,1,1,High
555,31,140042,36,Doctorate,Employed,66,7,149,439,11,0.72,0.798,North,20,8490,4,8.23,0,1,Low
556,38,95565,21,Master,Employed,40,0,121,75,8,0.87,0.695,East,45,18774,1,6.07,1,1,Low
557,59,73436,39,Bachelor,Unemployed,16,5,108,738,153,0.86,0.955,West,38,1457,1,4.5,0,1,Low
558,28,27774,3,Master,Unemployed,21,5,36,149,132,0.69,0.697,South,46,8014,3,8.67,0,0,Low
559,34,41972,29,Doctorate,Unemployed,19,1,29,581,45,0.61,0.411,West,57,9255,2,1.0,0,1,Low
560,61,39048,25,Master,Employed,166,1,30,410,81,0.92,0.708,North,33,5063,4,6.34,0,1,High
561,63,123908,27,High School,Employed,150,0,32,714,223,0.96,0.421,West,33,17656,1,8.1,0,1,Low
562,30,133724,36,Bachelor,Unemployed,136,5,108,697,150,1.0,0.644,South,28,12923,2,6.5,1,0,High
563,48,131669,22,Doctorate,Unemployed,168,8,75,672,287,0.68,0.702,East,54,9427,1,6.74,0,0,Low
564,23,105225,38,Doctorate,Unemployed,146,7,154,153,178,0.79,0.51,West,46,17605,4,8.7,1,0,Low
565,26,107273,35,Bachelor,Unemployed,188,4,77,460,89,0.99,0.985,South,43,17184,4,1.43,1,1,Low
566,50,106550,1,High School,Unemployed,97,7,116,689,49,0.71,0.189,West,50,14443,4,1.72,1,1,High
567,58,112354,3,Doctorate,Employed,153,1,57,70,47,0.9,0.556,North,26,12475,2,8.7,1,1,High
568,59,123737,24,High School,Unemployed,196,5,128,252,212,0.97,0.906,South,47,16847,4,2.57,0,0,High
569,40,101680,8,High School,Unemployed,195,1,63,516,54,0.59,0.496,East,59,17745,1,5.03,0,0,High
570,29,121537,39,Bachelor,Employed,20,7,108,958,235,0.86,0.652,North,33,11710,3,1.33,1,0,Low
571,22,82602,18,Master,Employed,173,1,113,736,281,0.85,0.47,South,33,4237,1,2.55,0,1,Low
572,43,91403,3,Bachelor,Employed,10,4,112,950,132,0.69,0.961,West,49,15996,4,2.55,0,1,High
573,38,52182,18,High School,Unemployed,30,6,71,139,293,0.99,0.979,North,51,1212,1,8.34,1,1,Low
574,28,104876,16,Bachelor,Employed,181,6,71,120,224,0.93,0.269,East,30,3924,4,5.15,0,1,High
575,46,102373,32,Bachelor,Unemployed,109,3,25,702,34,1.0,0.94,East,39,10338,1,8.2,1,1,High
576,25,72059,1,Bachelor,Unemployed,174,7,89,801,201,0.78,0.562,South,36,7642,3,3.43,1,1,Low
577,57,33787,26,High School,Unemployed,15,6,176,649,37,0.61,0.617,South,37,17144,4,7.5,0,1,Low
578,27,145452,12,Master,Unemployed,151,9,171,417,79,0.64,0.949,West,20,8295,1,5.38,1,0,High
579,52,25393,38,Doctorate,Employed,102,4,42,201,253,0.9,0.763,West,52,5172,1,5.17,0,0,High
580,40,86775,21,Master,Employed,138,3,48,787,99,0.68,0.667,South,28,1416,1,7.67,1,1,Low
581,60,84454,13,Doctorate,Unemployed,145,1,179,88,217,0.61,0.89,North,30,3298,4,4.16,0,0,High
582,48,37056,12,Master,Employed,120,1,70,757,93,0.96,0.692,West,57,1983,2,3.4,1,0,High
583,31,86483,13,High School,Unemployed,53,3,159,133,150,0.67,0.169,North,22,8397,4,5.68,1,0,High
584,47,133696,18,High School,Unemployed,132,7,105,254,289,0.54,0.726,West,59,5450,4,6.99,0,0,High
585,40,69957,19,Doctorate,Employed,96,5,54,618,210,0.78,0.948,West,33,5521,4,1.41,0,0,High
586,60,53429,19,Master,Employed,112,8,112,872,279,0.78,0.579,North,23,11465,3,3.23,0,0,Low
587,24,70909,6,Master,Employed,114,1,17,365,88,0.71,0.585,North,42,15762,4,5.91,0,1,High
588,34,77906,7,High School,Unemployed,84,6,122,870,262,0.72,0.35,North,31,12535,2,5.99,1,1,Low
589,49,122435,7,Bachelor,Unemployed,164,0,186,918,272,0.61,0.606,West,57,5383,4,4.9,1,0,High
590,41,122757,28,High School,Unemployed,45,1,28,200,296,0.65,0.944,North,50,14611,1,7.6,1,0,High
591,49,111290,28,Master,Employed,179,8,159,733,278,0.74,0.355,North,45,10668,3,6.83,1,0,Low
592,29,69389,19,Master,Employed,157,7,181,126,273,0.99,0.971,North,49,6807,4,7.87,0,1,Low
593,62,45905,16,Master,Employed,17,8,83,929,64,0.99,0.738,East,51,4248,3,4.37,1,0,Low
594,60,114619,17,Master,Employed,55,6,30,471,183,0.54,0.297,West,56,9870,3,7.46,0,0,Low
595,22,78730,22,Master,Employed,109,9,170,363,105,0.95,0.734,East,36,18531,1,9.07,1,0,High
596,24,82557,19,Doctorate,Employed,61,8,168,936,71,0.72,0.481,North,38,17092,1,5.81,1,1,High
597,34,141814,29,Doctorate,Unemployed,35,3,135,926,283,0.73,0.628,South,33,15023,1,4.73,0,0,High
598,49,131634,19,Bachelor,Unemployed,44,2,42,959,136,0.68,0.875,East,23,17106,2,6.31,1,1,High
599,46,120157,35,Master,Employed,197,3,178,213,240,0.94,0.294,North,31,4292,1,9.39,1,0,High
600,54,111113,25,Doctorate,Employed,140,4,135,617,130,0.73,0.503,West,26,19877,1,9.62,0,1,High
601,59,127264,20,Bachelor,Employed,132,9,124,218,29,0.5,0.494,South,23,4435,1,5.39,0,1,High
602,27,91199,37,Doctorate,Employed,141,3,8,438,193,0.97,0.721,South,55,2061,2,6.8,0,0,High
603,53,72301,19,Master,Employed,71,3,77,636,73,0.99,0.161,East,59,8404,4,4.3,0,1,High
604,42,109752,13,Doctorate,Unemployed,73,6,173,561,51,0.72,0.268,North,23,12587,4,4.25,0,0,Low
605,37,72259,12,Doctorate,Employed,187,3,32,193,287,0.72,0.496,East,20,12175,4,5.46,1,1,Low
606,42,99801,15,High School,Unemployed,156,3,57,381,129,0.51,0.59,North,40,8134,4,5.38,1,1,High
607,32,29574,4,Bachelor,Unemployed,180,8,78,834,194,0.6,0.139,West,52,14071,3,8.39,0,1,High
608,58,113291,15,Bachelor,Unemployed,91,8,93,208,75,0.56,0.499,East,55,18534,2,1.68,0,1,High
609,57,81776,17,Master,Unemployed,23,4,158,249,53,0.9,0.659,West,21,16884,1,8.2,1,0,High
610,56,121777,27,High School,Employed,23,8,196,957,291,0.76,0.222,South,23,10715,2,4.65,0,0,High
611,40,113212,11,Bachelor,Unemployed,63,1,82,953,197,0.64,0.498,North,56,18525,2,6.86,1,1,High
612,41,112097,23,Master,Unemployed,166,4,47,318,271,0.96,0.765,North,28,14673,2,8.04,0,1,Low
613,39,49737,15,Master,Employed,140,6,105,936,247,0.82,0.181,South,47,9472,3,7.61,1,1,Low
614,62,48390,31,Doctorate,Employed,107,7,138,200,298,0.97,0.658,East,30,6957,4,7.22,0,1,High
615,35,116612,26,Doctorate,Employed,113,4,127,310,259,0.63,0.445,West,39,11042,2,8.81,0,0,High
616,36,77330,7,Doctorate,Employed,14,8,73,308,259,0.93,0.506,South,32,6204,1,1.34,1,1,High
617,52,96082,13,Doctorate,Unemployed,14,2,111,688,97,0.93,0.424,East,21,18036,1,7.0,1,0,Low
618,22,78642,13,High School,Unemployed,126,7,127,502,63,0.95,0.176,North,32,2622,1,7.47,1,1,High
619,24,46280,20,High School,Unemployed,54,8,99,859,151,0.91,0.638,North,22,8565,3,6.18,1,0,High
620,37,123489,34,High School,Employed,180,6,160,347,269,0.9,0.482,West,20,3179,1,2.09,1,0,High
621,44,46037,10,Bachelor,Unemployed,180,4,188,330,100,0.92,0.856,East,38,18068,4,4.6,0,0,High
622,32,141668,37,High School,Unemployed,125,8,87,657,201,0.95,0.759,North,42,4205,2,5.98,1,1,High
623,33,144229,27,Master,Employed,60,7,14,641,283,0.71,0.622,East,20,4031,1,2.96,1,1,High
624,31,65576,34,Doctorate,Employed,22,7,28,124,187,0.61,0.313,East,49,5155,3,8.97,0,0,High
625,53,53564,36,Bachelor,Unemployed,82,5,154,713,89,0.54,0.537,East,50,4356,4,6.15,0,1,High
626,37,124133,16,High School,Unemployed,77,1,19,666,280,0.64,0.8,South,20,1752,3,2.13,1,0,Low
627,29,110439,21,High School,Unemployed,78,3,163,649,145,0.93,0.206,West,25,14427,2,1.76,0,1,High
628,59,121342,16,Bachelor,Unemployed,144,0,13,175,61,1.0,0.207,South,30,15360,4,5.19,0,0,High
629,33,136864,17,Bachelor,Unemployed,101,9,36,487,179,0.71,0.297,West,24,2215,1,1.64,0,1,Low
630,45,114928,15,High School,Employed,113,4,100,472,209,0.73,0.898,West,39,8134,1,6.82,1,1,Low
631,49,53087,13,Master,Employed,87,9,48,365,166,0.7,0.558,East,44,13947,2,8.3,0,0,Low
632,29,134824,33,Bachelor,Employed,179,0,163,430,120,0.78,0.978,East,43,3854,3,6.7,0,0,High
633,49,134844,5,Bachelor,Employed,111,5,185,95,185,0.74,0.897,East,55,10367,4,1.42,0,0,Low
634,57,112829,27,Master,Employed,14,9,14,494,67,0.84,0.308,North,45,8484,4,1.64,1,0,High
635,47,101213,1,Doctorate,Unemployed,184,7,166,479,162,0.64,0.987,South,35,4979,1,2.1,1,1,High
636,29,37803,30,Doctorate,Employed,57,9,4,967,200,0.7,0.541,West,41,9587,4,9.07,0,0,High
637,49,137192,23,High School,Employed,132,0,96,387,251,0.7,0.883,North,29,10791,1,8.3,1,1,High
638,49,71002,15,Bachelor,Employed,101,5,44,514,8,0.66,0.528,West,31,19713,1,5.78,1,1,Low
639,58,91761,36,Master,Unemployed,184,3,128,626,169,0.9,0.952,East,48,10587,1,2.97,1,1,Low
640,62,96310,19,Doctorate,Unemployed,145,8,46,701,43,0.77,0.769,North,49,1375,3,9.91,1,0,High
641,57,103579,30,Doctorate,Unemployed,158,7,33,136,40,0.78,0.575,East,31,1406,3,5.23,0,0,High
642,48,41163,16,Doctorate,Employed,97,3,135,825,147,0.62,0.73,West,44,17799,2,9.17,0,1,High
643,38,93380,18,High School,Unemployed,127,1,53,402,168,0.71,0.304,North,33,6614,2,3.0,1,1,Low
644,30,97883,26,High School,Unemployed,33,5,86,317,279,0.67,0.869,South,43,2859,4,6.92,0,1,High
645,54,76885,17,Bachelor,Employed,150,2,59,642,20,0.95,0.346,South,59,17684,1,8.22,1,0,Low
646,41,111340,11,Doctorate,Employed,122,0,36,271,239,0.52,0.634,East,23,6275,1,8.07,0,1,High
647,34,61764,29,Master,Employed,152,6,173,408,239,0.59,0.992,East,34,9544,1,6.56,1,1,High
648,49,117782,9,Master,Unemployed,119,3,17,284,252,0.83,0.148,East,55,9089,3,7.38,0,1,High
649,50,87126,17,High School,Employed,98,8,9,126,244,0.8,0.255,North,30,19421,1,2.19,0,1,High
650,34,132994,27,Master,Employed,118,9,67,493,113,0.86,0.718,East,24,7144,1,2.86,0,0,High
651,56,92224,37,Bachelor,Unemployed,62,9,198,454,126,0.52,0.673,North,26,6532,1,2.62,1,1,High
652,27,72055,22,Master,Employed,168,2,85,174,119,0.94,0.752,North,32,10367,2,5.93,0,0,High
653,39,76599,8,Master,Unemployed,60,9,106,826,216,0.97,0.118,South,46,5015,2,5.78,0,1,Low
654,26,107787,3,Master,Employed,184,9,75,560,274,0.89,0.714,West,37,10659,2,9.33,0,1,Low
655,46,103040,38,Doctorate,Unemployed,176,9,151,680,248,0.59,0.947,South,48,12761,1,7.84,0,0,High
656,23,64720,35,Bachelor,Employed,126,0,46,845,256,0.89,0.461,West,58,16490,1,2.6,0,1,High
657,31,118120,32,Master,Unemployed,66,1,36,259,236,0.66,0.541,North,58,6281,2,2.51,0,0,Low
658,51,69484,8,Doctorate,Employed,187,3,199,547,138,0.58,0.73,West,59,11863,1,3.28,1,1,High
659,26,139067,27,Doctorate,Unemployed,124,6,42,558,151,0.54,0.892,East,34,5276,4,9.99,1,0,Low
660,54,63852,32,High School,Unemployed,66,7,24,219,249,0.52,0.778,North,21,19573,4,2.53,1,1,High
661,22,38219,36,Master,Unemployed,44,3,86,850,111,0.92,0.966,West,36,14003,1,4.39,0,0,High
662,39,133508,34,Doctorate,Unemployed,95,2,145,351,266,0.92,0.765,West,29,12355,1,3.82,1,0,High
663,53,115351,25,Master,Employed,144,9,178,881,239,0.52,0.358,West,59,1427,3,1.02,1,1,High
664,32,73865,31,Doctorate,Unemployed,62,8,45,456,9,0.86,0.906,East,29,10796,4,3.55,0,0,Low
665,42,79457,13,High School,Unemployed,19,7,186,486,198,0.63,0.557,South,22,13149,2,2.89,1,1,High
666,47,115159,15,Doctorate,Unemployed,48,5,166,626,52,0.61,0.927,North,44,8908,1,9.79,0,0,High
667,46,61817,13,Master,Unemployed,195,8,77,872,202,0.78,0.159,South,49,8267,1,7.54,0,0,High
668,43,93993,33,Bachelor,Unemployed,172,7,111,472,146,0.73,0.683,South,29,19591,4,8.26,1,0,High
669,48,118391,31,Doctorate,Unemployed,136,6,85,241,82,0.59,0.112,North,31,10044,4,8.6,1,0,High
670,34,77380,25,Bachelor,Unemployed,68,5,165,683,172,0.5,0.235,North,39,9487,1,3.22,1,1,High
671,54,75400,23,High School,Unemployed,126,9,182,772,220,0.66,0.373,South,44,19485,4,9.13,0,0,High
672,55,140855,38,Bachelor,Unemployed,159,2,78,452,162,0.7,0.765,North,35,15446,4,5.89,1,1,Low
673,62,61258,3,Master,Employed,146,5,4,53,79,0.74,0.477,West,59,2201,1,1.67,0,0,High
674,56,106006,16,Bachelor,Employed,109,3,112,56,82,0.7,0.499,North,31,7111,3,6.45,1,1,High
675,22,73957,2,Master,Unemployed,17,4,132,462,52,0.69,0.366,North,59,1152,3,1.94,1,1,Low
676,42,136466,23,Master,Unemployed,129,6,120,673,242,0.98,0.859,West,30,19969,1,5.91,0,0,High
677,27,43281,34,Bachelor,Employed,67,6,177,536,12,0.96,0.967,East,55,4751,4,5.81,1,0,High
678,49,102264,30,High School,Unemployed,136,8,41,892,181,0.7,0.985,South,49,2728,3,6.79,1,0,High
679,38,76331,10,Bachelor,Employed,104,8,146,654,139,0.97,0.57,South,39,13161,2,2.07,0,0,Low
680,26,70680,1,Doctorate,Employed,159,5,161,302,259,0.54,0.14,West,20,14969,4,8.9,0,0,High
681,52,63723,22,Bachelor,Employed,104,5,52,825,88,0.51,0.188,South,28,8868,2,7.68,0,0,High
682,26,35162,33,Doctorate,Unemployed,177,1,20,350,68,0.67,0.885,South,31,8787,3,9.87,0,1,High
683,59,119808,25,Master,Employed,165,7,44,506,137,0.59,0.637,East,44,6409,1,1.07,0,0,High
684,24,126024,22,High School,Employed,183,2,59,310,181,0.85,0.263,West,22,15858,4,6.24,0,1,High
685,44,133877,16,Doctorate,Unemployed,78,0,180,624,202,0.81,0.583,North,38,3071,1,5.36,0,1,High
686,58,76095,30,High School,Unemployed,61,3,18,379,19,0.99,0.654,South,31,2574,1,4.61,1,0,High
687,58,36338,18,Doctorate,Unemployed,20,4,34,220,63,0.88,0.872,East,38,9233,3,3.31,0,0,High
688,31,112832,24,High School,Unemployed,159,2,81,649,94,0.7,0.694,West,41,1302,4,2.21,0,1,High
689,31,36675,5,Bachelor,Employed,56,6,13,194,113,0.63,0.535,West,22,18804,4,9.78,1,0,High
690,40,114606,37,Master,Employed,98,4,85,288,25,0.53,0.643,East,38,17454,1,8.83,1,1,Low
691,38,45080,23,High School,Unemployed,22,9,102,892,13,0.63,0.22,West,53,12084,2,8.37,1,1,High
692,42,137675,27,Master,Employed,135,4,11,595,60,0.59,0.32,North,39,15371,3,2.19,1,1,High
693,35,142513,12,Master,Unemployed,109,5,176,905,206,0.92,0.576,South,48,8378,1,9.73,1,1,High
694,30,38936,10,Bachelor,Unemployed,127,5,2,825,89,0.66,0.292,South,44,13421,2,4.53,1,1,High
695,22,35019,34,Master,Employed,182,8,118,298,230,0.84,0.987,South,54,11790,2,5.34,1,1,High
696,34,131718,33,Doctorate,Employed,84,2,103,477,163,0.82,0.594,East,31,4377,3,6.75,1,1,High
697,25,92282,16,Bachelor,Employed,78,7,95,536,198,0.53,0.229,South,22,13626,1,3.83,0,1,High
698,22,74681,29,Master,Employed,130,6,154,457,110,0.51,0.931,South,49,18536,3,5.18,1,1,High
699,61,113304,18,Master,Unemployed,87,8,116,179,148,0.72,0.739,North,24,14372,3,5.89,0,1,Low
700,53,98861,27,Doctorate,Unemployed,31,4,152,953,167,0.96,0.135,West,21,12795,2,2.42,1,0,Low
701,55,135299,7,Doctorate,Employed,172,6,142,848,181,0.82,0.427,North,49,6214,2,3.49,1,1,High
702,49,29486,36,Master,Unemployed,169,7,114,160,246,0.93,0.483,South,29,7065,2,1.85,1,1,High
703,52,107021,27,Master,Employed,175,8,26,349,163,0.52,0.576,East,49,18532,4,4.62,0,1,High
704,29,104864,10,Doctorate,Unemployed,67,7,14,980,80,0.69,0.384,North,52,14456,3,5.27,0,1,High
705,60,143411,10,Master,Employed,177,1,157,619,27,0.53,0.75,East,56,19556,3,6.16,1,1,High
706,47,44112,11,High School,Unemployed,30,5,186,817,238,0.67,0.592,South,27,7861,3,8.78,0,1,High
707,55,76697,30,Bachelor,Employed,58,3,172,53,106,0.64,0.142,West,24,1123,2,2.47,1,1,High
708,24,142246,3,Doctorate,Employed,106,3,180,765,21,0.96,0.171,North,51,10706,4,1.74,0,1,High
709,33,80998,29,Doctorate,Employed,101,8,77,168,18,0.91,0.396,West,45,15801,2,2.08,1,1,Low
710,22,134537,14,Master,Employed,48,6,44,408,101,0.9,0.686,South,28,6268,2,2.44,0,0,High
711,26,122816,13,Master,Employed,198,5,91,129,180,0.51,0.683,North,36,8513,4,1.51,1,1,High
712,51,51576,19,Doctorate,Employed,109,1,199,71,10,0.75,0.268,North,47,18824,2,7.39,1,1,High
713,51,75100,25,Master,Unemployed,19,0,188,258,283,0.55,0.903,East,59,7347,4,9.05,1,1,High
714,38,133064,10,Bachelor,Employed,177,9,10,548,181,0.93,0.563,West,29,19294,2,8.63,1,0,High
715,44,106238,15,Doctorate,Unemployed,67,3,77,235,163,0.73,0.622,East,45,10429,1,8.59,1,0,High
716,36,46320,28,High School,Unemployed,98,8,178,832,137,0.55,0.81,South,42,8004,2,3.54,0,1,High
717,58,108973,38,Master,Employed,182,3,110,709,170,0.99,0.203,East,33,8326,4,1.62,1,1,Low
718,42,90729,7,Bachelor,Employed,154,1,166,336,249,0.64,0.572,East,22,16763,1,8.69,1,0,High
719,35,115853,14,Bachelor,Employed,130,7,23,291,35,0.6,0.726,North,49,3470,3,8.51,1,0,Low
720,23,146992,30,Doctorate,Employed,77,5,133,374,190,0.78,0.284,North,59,1380,2,1.91,1,0,Low
721,32,119018,12,Doctorate,Employed,19,0,32,783,186,0.74,0.256,East,41,1326,3,4.48,1,0,Low
722,60,109879,28,High School,Employed,126,3,149,231,21,0.64,0.943,North,22,9138,4,4.14,0,1,High
723,59,54144,14,Doctorate,Unemployed,71,9,59,748,282,0.87,0.802,East,38,18577,3,1.89,0,1,High
724,55,82326,1,Doctorate,Unemployed,98,4,147,807,196,0.64,0.124,North,53,2494,4,9.65,1,0,Low
725,59,102148,4,Doctorate,Unemployed,169,0,10,303,273,0.67,0.462,South,32,8356,4,7.98,1,1,High
726,55,44307,18,Doctorate,Employed,81,1,114,268,245,0.85,0.265,West,22,1181,3,6.41,0,0,High
727,39,85598,36,Master,Unemployed,179,8,34,479,179,0.79,0.385,North,27,11956,2,4.29,1,0,High
728,51,44623,32,Bachelor,Employed,182,0,162,447,10,0.64,0.358,West,55,19332,4,9.75,1,0,Low
729,36,45249,28,Bachelor,Unemployed,85,7,64,927,14,0.96,0.999,South,26,13074,1,4.18,1,1,Low
730,48,98765,28,Doctorate,Employed,158,8,105,181,62,0.86,0.978,South,26,7462,2,6.09,1,0,Low
731,55,116810,38,Master,Unemployed,118,1,89,539,44,0.65,0.18,West,23,14580,4,6.71,0,1,Low
732,59,127870,32,Master,Employed,164,1,176,245,18,0.93,0.317,East,23,16514,1,2.04,1,0,High
733,54,97131,8,Doctorate,Unemployed,137,6,65,628,155,0.66,0.802,North,37,3625,2,7.07,1,0,Low
734,45,119138,25,Doctorate,Employed,167,9,173,312,220,0.99,0.67,North,55,6362,4,2.66,1,1,High
735,36,63377,20,Doctorate,Unemployed,83,8,132,933,147,0.95,0.17,South,23,3951,1,8.56,0,0,High
736,51,77365,33,Doctorate,Unemployed,138,9,166,344,132,0.7,0.145,South,42,18393,4,3.35,1,1,Low
737,63,128412,30,Doctorate,Employed,18,8,78,788,270,0.83,0.248,North,50,6581,4,7.12,1,1,High
738,38,59551,37,Bachelor,Employed,12,2,178,894,245,0.77,0.49,East,51,18662,2,2.02,1,1,High
